rate,btl_delay,cca,test_duration,flows,interval,omit,aqm,buffer_factor,trial,jfi,loss_percentage,utilization,buffer_occupancy
100,10,bbr-reno,120,1,0.1,180,FIFO,1,1,0.4327216070093115,14.52837138824612,95.0010130603235,93.7752
100,10,bbr-reno,120,1,0.1,180,FIFO,1,2,0.444312103120233,13.865848824597396,95.0796461635503,93.4864
100,10,bbr-reno,120,1,0.1,180,FIFO,1,3,0.4242315417142173,14.924773124531637,94.82623207677156,93.9216
100,10,bbr-reno,120,1,0.1,180,FIFO,2,1,0.4258197719041972,13.640827701190323,93.83008333785436,94.6328
100,10,bbr-reno,120,1,0.1,180,FIFO,2,2,0.4421064305576457,13.538917663699388,94.0747282491399,94.6736
100,10,bbr-reno,120,1,0.1,180,FIFO,2,3,0.4252863231644991,13.718097245539584,93.83881575985768,94.584
100,10,bbr-reno,120,1,0.1,180,FIFO,3,1,0.4268115253350577,11.444725383825224,93.77595040566068,95.2696
100,10,bbr-reno,120,1,0.1,180,FIFO,3,2,0.425965476146147,11.765792781651498,93.75143863830397,94.98053333333333
100,10,bbr-reno,120,1,0.1,180,FIFO,3,3,0.4269557118961248,11.517087827670665,93.97861822322386,95.02373333333334
100,10,bbr-reno,120,1,0.1,180,FIFO,4,1,0.4888432850944133,7.361370998159564,93.67276831617352,94.667
100,10,bbr-reno,120,1,0.1,180,FIFO,4,2,0.506280812082215,8.854681443682749,93.84753198466088,94.975
100,10,bbr-reno,120,1,0.1,180,FIFO,4,3,0.4843571478641193,7.075876050384414,93.73397658145346,94.4104
100,10,bbr-reno,120,1,0.1,180,FIFO,5,1,0.5475393885076841,1.0363657568731666,93.94366743045062,90.748
100,10,bbr-reno,120,1,0.1,180,FIFO,5,2,0.5746175255935615,0.5718865950952017,94.35437106375488,89.74448
100,10,bbr-reno,120,1,0.1,180,FIFO,5,3,0.5723957838198176,0.5527583541397336,94.36311474871763,89.68848
100,10,bbr-reno,120,1,0.1,180,FIFO,6,1,0.8331865592246351,1.52672087652455,94.9485935700238,87.462
100,10,bbr-reno,120,1,0.1,180,FIFO,6,2,0.8383912976983332,0.1635020486275386,95.35048723159656,87.8616
100,10,bbr-reno,120,1,0.1,180,FIFO,6,3,0.7982919384462075,1.5415671220779477,94.9747811192596,88.84666666666666
100,10,bbr-reno,120,1,0.1,180,FIFO,7,1,0.7953434027154893,2.9281753720029333,94.78257438186048,85.33451428571429
100,10,bbr-reno,120,1,0.1,180,FIFO,7,2,0.7974772592801653,2.4753350868788084,94.8437248938387,83.49188571428571
100,10,bbr-reno,120,1,0.1,180,FIFO,7,3,0.8190868099221565,2.781072049669905,94.80876269685136,85.62342857142858
100,10,bbr-bbr2,120,1,0.1,180,FIFO,1,1,0.4598578608391654,14.249701188113484,94.5640882016556,93.404
100,10,bbr-bbr2,120,1,0.1,180,FIFO,1,2,0.4485412086968915,14.59813439897648,95.02721115495842,93.624
100,10,bbr-bbr2,120,1,0.1,180,FIFO,1,3,0.464538143402567,13.988565691254388,95.00974076498196,93.264
100,10,bbr-bbr2,120,1,0.1,180,FIFO,2,1,0.4358043511632426,13.771729499534295,93.76019185126056,94.642
100,10,bbr-bbr2,120,1,0.1,180,FIFO,2,2,0.4379703817181131,13.12981051446478,93.71650860036488,94.5144
100,10,bbr-bbr2,120,1,0.1,180,FIFO,2,3,0.4358512817312445,13.62655922640126,93.65533725691964,94.4208
100,10,bbr-bbr2,120,1,0.1,180,FIFO,3,1,0.4357013813389589,10.803608490762077,93.66407537493252,94.87653333333331
100,10,bbr-bbr2,120,1,0.1,180,FIFO,3,2,0.4365225756644043,11.086260913668566,93.76019634522876,94.8768
100,10,bbr-bbr2,120,1,0.1,180,FIFO,3,3,0.4343659112345308,11.57619050426927,93.71649504212104,94.864
100,10,bbr-bbr2,120,1,0.1,180,FIFO,4,1,0.5034980908732141,7.014940109917084,93.61163313021667,93.9768
100,10,bbr-bbr2,120,1,0.1,180,FIFO,4,2,0.5072205614386865,5.006242343447156,93.69901970766456,93.6598
100,10,bbr-bbr2,120,1,0.1,180,FIFO,4,3,0.5096358285786423,9.347927632510938,93.63786653158768,94.8838
100,10,bbr-bbr2,120,1,0.1,180,FIFO,5,1,0.4983480229041386,0.1850433824083596,93.70775530752852,87.9936
100,10,bbr-bbr2,120,1,0.1,180,FIFO,5,2,0.5013705475046463,0.4025693239913646,93.52426465760124,88.67808
100,10,bbr-bbr2,120,1,0.1,180,FIFO,5,3,0.5355860768024294,0.1739194503710782,93.6640494507274,87.99808
100,10,bbr-bbr2,120,1,0.1,180,FIFO,6,1,0.5735458201513972,0.0,93.79514308341088,76.2608
100,10,bbr-bbr2,120,1,0.1,180,FIFO,6,2,0.492485325529623,0.0,93.6816036052052,76.10053333333333
100,10,bbr-bbr2,120,1,0.1,180,FIFO,6,3,0.5837234619281508,0.0007453352132383,93.91747331494444,75.4152
100,10,bbr-bbr2,120,1,0.1,180,FIFO,7,1,0.7248585778341843,0.0055121592599481,94.33689693590097,66.30114285714286
100,10,bbr-bbr2,120,1,0.1,180,FIFO,7,2,0.6245811032385215,0.0,93.9173713863365,65.52422857142857
100,10,bbr-bbr2,120,1,0.1,180,FIFO,7,3,0.6679305019866991,0.0053119609166762,94.12719856998864,68.91131428571428
100,10,bbr-cubic,120,1,0.1,180,FIFO,1,1,0.4318133822546493,14.63287775418388,94.74759669905583,93.6648
100,10,bbr-cubic,120,1,0.1,180,FIFO,1,2,0.4309670037147997,14.059685611509916,94.28446955562036,93.2056
100,10,bbr-cubic,120,1,0.1,180,FIFO,1,3,0.4381422725036762,14.521310400881635,94.91361054552767,93.5376
100,10,bbr-cubic,120,1,0.1,180,FIFO,2,1,0.427089396217935,13.032515949669554,93.82071771268409,94.7624
100,10,bbr-cubic,120,1,0.1,180,FIFO,2,2,0.421032476803956,13.35296650467655,93.80387493380752,94.58
100,10,bbr-cubic,120,1,0.1,180,FIFO,2,3,0.4215995093891653,13.680779082723513,93.80386834991008,94.4396
100,10,bbr-cubic,120,1,0.1,180,FIFO,3,1,0.4293192658457645,11.059917955821415,93.78641000261943,95.05626666666667
100,10,bbr-cubic,120,1,0.1,180,FIFO,3,2,0.5106725247678396,12.085915453362617,93.7595504761472,95.10746666666668
100,10,bbr-cubic,120,1,0.1,180,FIFO,3,3,0.4224163080038293,11.85539911734695,93.72522923957516,94.99146666666668
100,10,bbr-cubic,120,1,0.1,180,FIFO,4,1,0.4768825858226359,7.808763291221663,93.71650448447772,94.59
100,10,bbr-cubic,120,1,0.1,180,FIFO,4,2,0.4631166284302647,7.3464610921577425,93.60289142946093,94.1532
100,10,bbr-cubic,120,1,0.1,180,FIFO,4,3,0.4906703539250633,8.632552668028298,93.66406798705088,94.7164
100,10,bbr-cubic,120,1,0.1,180,FIFO,5,1,0.5977978771022696,0.4818006253203939,94.35438148252597,90.35488
100,10,bbr-cubic,120,1,0.1,180,FIFO,5,2,0.6284746977929223,0.4763858477459542,94.18835637604448,90.09328
100,10,bbr-cubic,120,1,0.1,180,FIFO,5,3,0.6499860616768018,0.359701689709806,94.32816406109592,89.92816
100,10,bbr-cubic,120,1,0.1,180,FIFO,6,1,0.8060841793349713,1.082625635105249,95.00975837321673,88.6324
100,10,bbr-cubic,120,1,0.1,180,FIFO,6,2,0.8087084087694786,0.5243584529552091,94.992270496028,87.81706666666666
100,10,bbr-cubic,120,1,0.1,180,FIFO,6,3,0.8493282607689309,0.5808199484533412,95.17579440445267,89.68426666666667
100,10,bbr-cubic,120,1,0.1,180,FIFO,7,1,0.7707004670638499,2.6831649508830053,94.73886423432336,85.45028571428571
100,10,bbr-cubic,120,1,0.1,180,FIFO,7,2,0.7745255817697771,2.117040322383187,94.77382073390848,85.008
100,10,bbr-cubic,120,1,0.1,180,FIFO,7,3,0.7621980946360081,2.3027394892687654,94.817499338292,86.58525714285715
100,10,bbr2-cubic,120,1,0.1,180,FIFO,1,1,0.8782485429517638,0.3074736155217809,94.869928759574,71.2872
100,10,bbr2-cubic,120,1,0.1,180,FIFO,1,2,0.8652470451353592,0.2980736598105406,94.8087798766332,71.56104
100,10,bbr2-cubic,120,1,0.1,180,FIFO,1,3,0.8736328581329059,0.3413833992112277,94.87866157182116,71.37144
100,10,bbr2-cubic,120,1,0.1,180,FIFO,2,1,0.8857470969390632,0.1008759080639542,95.76121975403348,77.0444
100,10,bbr2-cubic,120,1,0.1,180,FIFO,2,2,0.9525361749216146,0.1148274793373326,95.7087977844946,79.36
100,10,bbr2-cubic,120,1,0.1,180,FIFO,2,3,0.925922060752146,0.0986325311062976,95.70878790311464,77.992
100,10,bbr2-cubic,120,1,0.1,180,FIFO,3,1,0.9063351428291572,0.093035431151825,95.7699651593996,83.0368
100,10,bbr2-cubic,120,1,0.1,180,FIFO,3,2,0.864050862548388,0.0884728622377675,95.8486001866913,81.75813333333333
100,10,bbr2-cubic,120,1,0.1,180,FIFO,3,3,0.9332397680767358,0.0843182688622794,95.70879607574808,83.27386666666666
100,10,bbr2-cubic,120,1,0.1,180,FIFO,4,1,0.887103639631814,0.0810423751460564,95.75237628481084,84.7882
100,10,bbr2-cubic,120,1,0.1,180,FIFO,4,2,0.94500475881492,0.0701681212523135,95.7699861427946,84.9386
100,10,bbr2-cubic,120,1,0.1,180,FIFO,4,3,0.92097126694201,0.0812060088409848,95.6825746135976,84.9018
100,10,bbr2-cubic,120,1,0.1,180,FIFO,5,1,0.9252473111805004,0.0702661511574908,95.77869129213768,85.54624
100,10,bbr2-cubic,120,1,0.1,180,FIFO,5,2,0.9265125649538054,0.0654514686277873,95.79616976444868,85.86016
100,10,bbr2-cubic,120,1,0.1,180,FIFO,5,3,0.9149900938486468,0.0749302670531908,95.822426402179,86.80288
100,10,bbr2-cubic,120,1,0.1,180,FIFO,6,1,0.9655680572100802,0.0599407609709333,95.76121335502322,87.08586666666666
