exp_name,value
bbr2_1_cubic_1_10_40,2.1833
cubic_1_cubic_1_10_40,7.380375
bbr2_1_cubic_2_10_40,3.747325
cubic_1_cubic_2_10_40,5.820399999999999
bbr2_1_cubic_4_10_40,4.915975
cubic_1_cubic_4_10_40,4.6471
bbr2_1_cubic_8_10_40,7.087525
cubic_1_cubic_8_10_40,2.47685
bbr2_1_cubic_16_10_40,9.125725
cubic_1_cubic_16_10_40,0.4391249999999999
bbr2_1_cubic_32_10_40,9.3847
cubic_1_cubic_32_10_40,0.179825
bbr2_2_cubic_1_10_40,2.120775
cubic_2_cubic_1_10_40,7.442725
bbr2_2_cubic_2_10_40,3.9175750000000007
cubic_2_cubic_2_10_40,5.647325
bbr2_2_cubic_4_10_40,4.59335
cubic_2_cubic_4_10_40,4.9751
bbr2_2_cubic_8_10_40,5.950125000000001
cubic_2_cubic_8_10_40,3.61395
bbr2_2_cubic_16_10_40,8.20605
cubic_2_cubic_16_10_40,1.3637
bbr2_2_cubic_32_10_40,9.349925
cubic_2_cubic_32_10_40,0.215975
bbr2_4_cubic_1_10_40,1.7585
cubic_4_cubic_1_10_40,7.80535
bbr2_4_cubic_2_10_40,3.1860249999999994
cubic_4_cubic_2_10_40,6.37845
bbr2_4_cubic_4_10_40,3.986625
cubic_4_cubic_4_10_40,5.577025000000001
bbr2_4_cubic_8_10_40,5.058275
cubic_4_cubic_8_10_40,4.5102
bbr2_4_cubic_16_10_40,6.823099999999999
cubic_4_cubic_16_10_40,2.757625
bbr2_4_cubic_32_10_40,9.103374999999998
cubic_4_cubic_32_10_40,0.461875
bbr2_8_cubic_1_10_40,1.4548500000000002
cubic_8_cubic_1_10_40,8.1095
bbr2_8_cubic_2_10_40,2.6784000000000003
cubic_8_cubic_2_10_40,6.88595
bbr2_8_cubic_4_10_40,3.77765
cubic_8_cubic_4_10_40,5.78625
bbr2_8_cubic_8_10_40,4.383275
cubic_8_cubic_8_10_40,5.182424999999999
bbr2_8_cubic_16_10_40,5.20075
cubic_8_cubic_16_10_40,4.361775
bbr2_8_cubic_32_10_40,7.52295
cubic_8_cubic_32_10_40,2.070125
bbr2_16_cubic_1_10_40,1.845
cubic_16_cubic_1_10_40,7.718175
bbr2_16_cubic_2_10_40,1.95945
cubic_16_cubic_2_10_40,7.604425
bbr2_16_cubic_4_10_40,2.320725
cubic_16_cubic_4_10_40,7.243424999999999
bbr2_16_cubic_8_10_40,2.594325
cubic_16_cubic_8_10_40,6.96895
bbr2_16_cubic_16_10_40,3.0672
cubic_16_cubic_16_10_40,6.496949999999999
bbr2_16_cubic_32_10_40,5.018425
cubic_16_cubic_32_10_40,4.5579
bbr2_32_cubic_1_10_40,0.49545
cubic_32_cubic_1_10_40,9.062125000000002
bbr2_32_cubic_2_10_40,0.855825
cubic_32_cubic_2_10_40,8.708575
bbr2_32_cubic_4_10_40,1.338825
cubic_32_cubic_4_10_40,8.234774999999999
bbr2_32_cubic_8_10_40,1.9617
cubic_32_cubic_8_10_40,7.596099999999999
bbr2_32_cubic_16_10_40,3.0300250000000006
cubic_32_cubic_16_10_40,6.5235
bbr2_32_cubic_32_10_40,3.891675
cubic_32_cubic_32_10_40,5.676125
bbr2_64_cubic_1_10_40,0.9084
cubic_64_cubic_1_10_40,8.648875
bbr2_64_cubic_2_10_40,0.3182999999999999
cubic_64_cubic_2_10_40,9.184375
bbr2_64_cubic_4_10_40,0.516875
cubic_64_cubic_4_10_40,9.048325
bbr2_64_cubic_8_10_40,0.727125
cubic_64_cubic_8_10_40,8.838175
bbr2_64_cubic_16_10_40,1.0798
cubic_64_cubic_16_10_40,8.482899999999999
bbr2_64_cubic_32_10_40,5.980499999999999
cubic_64_cubic_32_10_40,3.5654000000000003
