exp_name,value
bbr2_1_cubic_1_50_30,13.582
cubic_1_cubic_1_50_30,34.21775
bbr2_1_cubic_2_50_30,19.3305
cubic_1_cubic_2_50_30,28.47775
bbr2_1_cubic_4_50_30,22.43175
cubic_1_cubic_4_50_30,25.3675
bbr2_1_cubic_8_50_30,23.36725
cubic_1_cubic_8_50_30,24.4475
bbr2_1_cubic_16_50_30,29.24225
cubic_1_cubic_16_50_30,18.593000000000004
bbr2_1_cubic_32_50_30,40.63525
cubic_1_cubic_32_50_30,7.190124999999999
bbr2_2_cubic_1_50_30,13.279275000000002
cubic_2_cubic_1_50_30,34.5255
bbr2_2_cubic_2_50_30,18.81475
cubic_2_cubic_2_50_30,28.99025
bbr2_2_cubic_4_50_30,21.125
cubic_2_cubic_4_50_30,26.68125
bbr2_2_cubic_8_50_30,22.8745
cubic_2_cubic_8_50_30,24.93025
bbr2_2_cubic_16_50_30,26.861
cubic_2_cubic_16_50_30,20.9495
bbr2_2_cubic_32_50_30,33.913250000000005
cubic_2_cubic_32_50_30,13.92735
bbr2_4_cubic_1_50_30,11.784175
cubic_4_cubic_1_50_30,36.01725
bbr2_4_cubic_2_50_30,17.51475
cubic_4_cubic_2_50_30,30.281
bbr2_4_cubic_4_50_30,19.8435
cubic_4_cubic_4_50_30,27.969
bbr2_4_cubic_8_50_30,22.846499999999995
cubic_4_cubic_8_50_30,24.97325
bbr2_4_cubic_16_50_30,26.030500000000004
cubic_4_cubic_16_50_30,21.775
bbr2_4_cubic_32_50_30,33.088249999999995
cubic_4_cubic_32_50_30,14.799
bbr2_8_cubic_1_50_30,10.3135
cubic_8_cubic_1_50_30,37.48275
bbr2_8_cubic_2_50_30,17.5059
cubic_8_cubic_2_50_30,30.308
bbr2_8_cubic_4_50_30,20.66775
cubic_8_cubic_4_50_30,27.137
bbr2_8_cubic_8_50_30,20.8455
cubic_8_cubic_8_50_30,26.96325
bbr2_8_cubic_16_50_30,21.379250000000003
cubic_8_cubic_16_50_30,26.442
bbr2_8_cubic_32_50_30,23.311000000000003
cubic_8_cubic_32_50_30,24.65
bbr2_16_cubic_1_50_30,13.4562
cubic_16_cubic_1_50_30,34.336000000000006
bbr2_16_cubic_2_50_30,16.776925
cubic_16_cubic_2_50_30,30.95
bbr2_16_cubic_4_50_30,18.358
cubic_16_cubic_4_50_30,29.3845
bbr2_16_cubic_8_50_30,18.28535
cubic_16_cubic_8_50_30,29.4395
bbr2_16_cubic_16_50_30,19.52685
cubic_16_cubic_16_50_30,28.2275
bbr2_16_cubic_32_50_30,19.21925
cubic_16_cubic_32_50_30,28.525
bbr2_32_cubic_1_50_30,3.063625
cubic_32_cubic_1_50_30,44.724025000000005
bbr2_32_cubic_2_50_30,10.375550000000002
cubic_32_cubic_2_50_30,37.343175
bbr2_32_cubic_4_50_30,7.279725
cubic_32_cubic_4_50_30,40.518525
bbr2_32_cubic_8_50_30,14.194274999999998
cubic_32_cubic_8_50_30,33.595150000000004
bbr2_32_cubic_16_50_30,15.3784
cubic_32_cubic_16_50_30,32.405325
bbr2_32_cubic_32_50_30,15.809
cubic_32_cubic_32_50_30,31.95105
bbr2_64_cubic_1_50_30,1.245525
cubic_64_cubic_1_50_30,46.3425
bbr2_64_cubic_2_50_30,1.55235
cubic_64_cubic_2_50_30,46.250675
bbr2_64_cubic_4_50_30,1.803975
cubic_64_cubic_4_50_30,45.98655000000001
bbr2_64_cubic_8_50_30,3.0225
cubic_64_cubic_8_50_30,44.75375
bbr2_64_cubic_16_50_30,4.007225
cubic_64_cubic_16_50_30,43.764875
bbr2_64_cubic_32_50_30,7.192424999999999
cubic_64_cubic_32_50_30,40.438625
