exp_name,value
bbr3_1_reno_1_10_40,5.757899999999999
reno_1_reno_1_10_40,3.7637
bbr3_1_reno_2_10_40,7.42585
reno_1_reno_2_10_40,2.0595
bbr3_1_reno_4_10_40,8.261400000000002
reno_1_reno_4_10_40,1.23525
bbr3_1_reno_8_10_40,8.7229
reno_1_reno_8_10_40,0.82715
bbr3_1_reno_16_10_40,9.0846
reno_1_reno_16_10_40,0.4842999999999999
bbr3_1_reno_32_10_40,9.31035
reno_1_reno_32_10_40,0.25165
bbr3_2_reno_1_10_40,5.23105
reno_2_reno_1_10_40,4.3404
bbr3_2_reno_2_10_40,6.74885
reno_2_reno_2_10_40,2.8046999999999995
bbr3_2_reno_4_10_40,7.991700000000001
reno_2_reno_4_10_40,1.52705
bbr3_2_reno_8_10_40,8.7497
reno_2_reno_8_10_40,0.7937000000000001
bbr3_2_reno_16_10_40,9.04895
reno_2_reno_16_10_40,0.50665
bbr3_2_reno_32_10_40,9.28555
reno_2_reno_32_10_40,0.2753
bbr3_4_reno_1_10_40,5.335400000000001
reno_4_reno_1_10_40,4.22755
bbr3_4_reno_2_10_40,5.8511
reno_4_reno_2_10_40,3.7228
bbr3_4_reno_4_10_40,6.0975
reno_4_reno_4_10_40,3.52915
bbr3_4_reno_8_10_40,7.7189
reno_4_reno_8_10_40,1.83375
bbr3_4_reno_16_10_40,9.04175
reno_4_reno_16_10_40,0.5231
bbr3_4_reno_32_10_40,9.2571
reno_4_reno_32_10_40,0.30865
bbr3_8_reno_1_10_40,5.66435
reno_8_reno_1_10_40,3.89815
bbr3_8_reno_2_10_40,6.055699999999999
reno_8_reno_2_10_40,3.57015
bbr3_8_reno_4_10_40,6.2860000000000005
reno_8_reno_4_10_40,3.241950000000001
bbr3_8_reno_8_10_40,6.73685
reno_8_reno_8_10_40,2.8122000000000003
bbr3_8_reno_16_10_40,8.43235
reno_8_reno_16_10_40,1.1447
bbr3_8_reno_32_10_40,9.2389
reno_8_reno_32_10_40,0.331
bbr3_16_reno_1_10_40,6.03855
reno_16_reno_1_10_40,3.52985
bbr3_16_reno_2_10_40,6.261800000000001
reno_16_reno_2_10_40,3.30775
bbr3_16_reno_4_10_40,6.555499999999999
reno_16_reno_4_10_40,3.00195
bbr3_16_reno_8_10_40,6.8405
reno_16_reno_8_10_40,2.72435
bbr3_16_reno_16_10_40,7.31135
reno_16_reno_16_10_40,2.25805
bbr3_16_reno_32_10_40,8.311399999999999
reno_16_reno_32_10_40,1.253
bbr3_32_reno_1_10_40,6.07745
reno_32_reno_1_10_40,3.48125
bbr3_32_reno_2_10_40,6.665850000000001
reno_32_reno_2_10_40,2.8751
bbr3_32_reno_4_10_40,6.678
reno_32_reno_4_10_40,2.90015
bbr3_32_reno_8_10_40,6.953200000000001
reno_32_reno_8_10_40,2.6069
bbr3_32_reno_16_10_40,7.0455
reno_32_reno_16_10_40,2.51185
bbr3_32_reno_32_10_40,7.7405
reno_32_reno_32_10_40,1.90905
bbr3_64_reno_1_10_40,4.391900000000001
reno_64_reno_1_10_40,5.175799999999999
bbr3_64_reno_2_10_40,0.9715
reno_64_reno_2_10_40,8.5892
bbr3_64_reno_4_10_40,7.446299999999999
reno_64_reno_4_10_40,2.1115
bbr3_64_reno_8_10_40,6.592149999999999
reno_64_reno_8_10_40,2.9385000000000003
bbr3_64_reno_16_10_40,7.52805
reno_64_reno_16_10_40,2.1491
bbr3_64_reno_32_10_40,7.61875
reno_64_reno_32_10_40,2.3537
