exp_name,value
bbr_1_cubic_1_10_40,8.1127
cubic_1_cubic_1_10_40,1.3019250000000002
bbr_1_cubic_2_10_40,9.087825
cubic_1_cubic_2_10_40,0.32365
bbr_1_cubic_4_10_40,9.188875
cubic_1_cubic_4_10_40,0.2750999999999999
bbr_1_cubic_8_10_40,9.283625
cubic_1_cubic_8_10_40,0.270125
bbr_1_cubic_16_10_40,9.371475
cubic_1_cubic_16_10_40,0.1918249999999999
bbr_1_cubic_32_10_40,9.39595
cubic_1_cubic_32_10_40,0.168125
bbr_2_cubic_1_10_40,5.745825
cubic_2_cubic_1_10_40,3.79265
bbr_2_cubic_2_10_40,7.913625
cubic_2_cubic_2_10_40,1.58445
bbr_2_cubic_4_10_40,9.19535
cubic_2_cubic_4_10_40,0.272825
bbr_2_cubic_8_10_40,9.305925
cubic_2_cubic_8_10_40,0.249325
bbr_2_cubic_16_10_40,9.389625
cubic_2_cubic_16_10_40,0.174875
bbr_2_cubic_32_10_40,9.418975
cubic_2_cubic_32_10_40,0.1446
bbr_4_cubic_1_10_40,4.761025
cubic_4_cubic_1_10_40,4.803725
bbr_4_cubic_2_10_40,5.624874999999999
cubic_4_cubic_2_10_40,3.92165
bbr_4_cubic_4_10_40,7.289175
cubic_4_cubic_4_10_40,2.2418
bbr_4_cubic_8_10_40,8.767075
cubic_4_cubic_8_10_40,0.8005000000000001
bbr_4_cubic_16_10_40,9.41475
cubic_4_cubic_16_10_40,0.1494
bbr_4_cubic_32_10_40,9.4445
cubic_4_cubic_32_10_40,0.122125
bbr_8_cubic_1_10_40,4.242299999999999
cubic_8_cubic_1_10_40,5.318825
bbr_8_cubic_2_10_40,5.1607
cubic_8_cubic_2_10_40,4.403375
bbr_8_cubic_4_10_40,5.99755
cubic_8_cubic_4_10_40,3.5626750000000005
bbr_8_cubic_8_10_40,7.119125
cubic_8_cubic_8_10_40,2.443025
bbr_8_cubic_16_10_40,8.435725
cubic_8_cubic_16_10_40,1.144325
bbr_8_cubic_32_10_40,9.4592
cubic_8_cubic_32_10_40,0.105325
bbr_16_cubic_1_10_40,4.04
cubic_16_cubic_1_10_40,5.52365
bbr_16_cubic_2_10_40,4.870775
cubic_16_cubic_2_10_40,4.69595
bbr_16_cubic_4_10_40,5.457224999999999
cubic_16_cubic_4_10_40,4.104674999999999
bbr_16_cubic_8_10_40,5.975275
cubic_16_cubic_8_10_40,3.5974
bbr_16_cubic_16_10_40,6.917174999999999
cubic_16_cubic_16_10_40,2.64975
bbr_16_cubic_32_10_40,8.414349999999999
cubic_16_cubic_32_10_40,1.158975
bbr_32_cubic_1_10_40,3.3177
cubic_32_cubic_1_10_40,6.23505
bbr_32_cubic_2_10_40,3.527325
cubic_32_cubic_2_10_40,6.019674999999999
bbr_32_cubic_4_10_40,4.262375
cubic_32_cubic_4_10_40,5.322825
bbr_32_cubic_8_10_40,4.353025
cubic_32_cubic_8_10_40,5.20565
bbr_32_cubic_16_10_40,5.327075
cubic_32_cubic_16_10_40,4.2253
bbr_32_cubic_32_10_40,6.149375
cubic_32_cubic_32_10_40,3.407
bbr_64_cubic_1_10_40,1.703825
cubic_64_cubic_1_10_40,7.903399999999999
bbr_64_cubic_2_10_40,2.3266250000000004
cubic_64_cubic_2_10_40,7.208125
bbr_64_cubic_4_10_40,2.7775
cubic_64_cubic_4_10_40,6.770125
bbr_64_cubic_8_10_40,2.94435
cubic_64_cubic_8_10_40,6.569325
bbr_64_cubic_16_10_40,3.472625
cubic_64_cubic_16_10_40,6.069375
bbr_64_cubic_32_10_40,3.6982
cubic_64_cubic_32_10_40,5.860424999999999
