exp_name,value
bbr_1_reno_1_10_40,8.405650000000001
reno_1_reno_1_10_40,1.00905
bbr_1_reno_2_10_40,9.0678
reno_1_reno_2_10_40,0.34615
bbr_1_reno_4_10_40,9.1811
reno_1_reno_4_10_40,0.2918
bbr_1_reno_8_10_40,9.26405
reno_1_reno_8_10_40,0.2953499999999999
bbr_1_reno_16_10_40,9.3585
reno_1_reno_16_10_40,0.2043999999999999
bbr_1_reno_32_10_40,9.4022
reno_1_reno_32_10_40,0.1622
bbr_2_reno_1_10_40,6.2241
reno_2_reno_1_10_40,3.29855
bbr_2_reno_2_10_40,8.20975
reno_2_reno_2_10_40,1.24745
bbr_2_reno_4_10_40,9.17195
reno_2_reno_4_10_40,0.29535
bbr_2_reno_8_10_40,9.2978
reno_2_reno_8_10_40,0.2561
bbr_2_reno_16_10_40,9.3878
reno_2_reno_16_10_40,0.1689999999999999
bbr_2_reno_32_10_40,9.42285
reno_2_reno_32_10_40,0.14205
bbr_4_reno_1_10_40,4.6025
reno_4_reno_1_10_40,4.9601
bbr_4_reno_2_10_40,6.075500000000001
reno_4_reno_2_10_40,3.4751
bbr_4_reno_4_10_40,7.432849999999999
reno_4_reno_4_10_40,1.9936
bbr_4_reno_8_10_40,8.8156
reno_4_reno_8_10_40,0.7705500000000001
bbr_4_reno_16_10_40,9.39635
reno_4_reno_16_10_40,0.1699499999999999
bbr_4_reno_32_10_40,9.45555
reno_4_reno_32_10_40,0.1137
bbr_8_reno_1_10_40,4.705699999999999
reno_8_reno_1_10_40,4.86285
bbr_8_reno_2_10_40,5.41775
reno_8_reno_2_10_40,4.14305
bbr_8_reno_4_10_40,6.33635
reno_8_reno_4_10_40,3.22675
bbr_8_reno_8_10_40,7.4488
reno_8_reno_8_10_40,2.1788
bbr_8_reno_16_10_40,8.7585
reno_8_reno_16_10_40,0.8140999999999999
bbr_8_reno_32_10_40,9.4606
reno_8_reno_32_10_40,0.10575
bbr_16_reno_1_10_40,4.55405
reno_16_reno_1_10_40,5.006900000000001
bbr_16_reno_2_10_40,4.97845
reno_16_reno_2_10_40,4.603399999999999
bbr_16_reno_4_10_40,5.55445
reno_16_reno_4_10_40,4.0121
bbr_16_reno_8_10_40,6.228199999999999
reno_16_reno_8_10_40,3.3352000000000004
bbr_16_reno_16_10_40,7.215
reno_16_reno_16_10_40,2.3510000000000004
bbr_16_reno_32_10_40,8.4766
reno_16_reno_32_10_40,1.1144
bbr_32_reno_1_10_40,4.202775
reno_32_reno_1_10_40,5.3575
bbr_32_reno_2_10_40,4.53825
reno_32_reno_2_10_40,5.016425
bbr_32_reno_4_10_40,4.86575
reno_32_reno_4_10_40,4.692625
bbr_32_reno_8_10_40,5.192699999999999
reno_32_reno_8_10_40,4.379825
bbr_32_reno_16_10_40,5.802125
reno_32_reno_16_10_40,3.7588
bbr_32_reno_32_10_40,6.807574999999999
reno_32_reno_32_10_40,2.845625
bbr_64_reno_1_10_40,3.5531
reno_64_reno_1_10_40,6.00725
bbr_64_reno_2_10_40,3.904075
reno_64_reno_2_10_40,5.646525
bbr_64_reno_4_10_40,4.232200000000001
reno_64_reno_4_10_40,5.3371
bbr_64_reno_8_10_40,4.309125
reno_64_reno_8_10_40,5.348375
bbr_64_reno_16_10_40,4.81815
reno_64_reno_16_10_40,4.948775
bbr_64_reno_32_10_40,5.3999500000000005
reno_64_reno_32_10_40,4.495575
